equivalence_class,Occurrence,Word count
acid,1,2
action,4,4
addition,5,3
advantage,2,2
advice,3,1
agent,2,2
agitation,1,1
aid,1,1
air,4,3
albumin,1,1
allium,1,1
almonds,2,2
altitude,2,2
altitudes,1,1
aluminum,1,1
amazon lists,1,2
amount,9,7
amounts,1,1
analogy,1,1
anything,2,2
appearance,2,2
applewood,1,1
application,1,1
area,3,2
aromatics,1,1
arrowroot,2,2
artichoke,1,1
aspect,1,1
attach,1,1
attributes,1,1
bacon,1,1
bacterium,1,1
bag,1,1
bain-marie,4,1
baked-goods,1,1
baking,6,4
baking causes,1,2
baking soda,1,2
baking technique,1,2
barbecue,9,6
barbecue grills,1,2
barbecue sauce,2,2
barbecuing,4,2
bark,2,1
base,3,2
basket,1,1
baste,3,3
basted,1,1
baster,3,3
basting,2,1
batch,1,1
batter,5,1
bay,1,1
beans,2,2
beef,4,3
beef stew,1,2
beef stock,1,2
beer,3,2
beets,1,1
bengal potatoes mussels,1,3
beurre manié,1,2
beverage,1,1
biodiesel,1,1
bird,4,1
bit,3,2
bits,2,1
bitterness,1,1
blanch vegetables,2,4
blanched,5,3
blanching,6,2
blender,1,1
boiled water,1,2
boiler,1,1
boiling,1,1
boilingpoint,1,1
boilover,1,1
bolognese meat sauce,1,3
boneless,1,1
bottle,1,1
bottom,13,9
botulism,2,2
botulism toxin,1,2
braising,1,1
bread,4,3
bread sticks,1,2
bread-wrapped,1,1
breading,7,2
breading sticks,1,2
breakdown,1,1
breaks,1,1
breast,6,2
brew tea,1,2
briefly,1,1
brine,3,1
brine solution,2,2
british,1,1
british english usage,1,3
broccoli,1,1
broiling,1,1
broth,2,2
browning browning,1,2
browns,1,1
bubbles,3,2
bubbles increase,1,2
burner,2,1
burning-wood,1,1
burns,6,2
butter,8,5
buttermilk,1,1
cabbage,1,1
cake,3,3
candy bars,1,2
canning,2,2
caps,1,1
car,2,1
caramelization,2,2
carbohydrate part,1,2
care,1,1
carrots,1,1
case,9,5
cast iron,1,2
cast iron pan,1,3
cause,2,1
causes,2,2
causes foods,2,4
caution,1,1
celery,1,1
cellulose,1,1
center,1,1
centre,2,1
cereals,1,1
certain classes,1,2
certain vegetables,2,4
chance,2,2
change,2,2
change oil,1,2
changes,1,1
charcoal,5,3
charcoal fires,1,2
charcoal grill,1,2
chaunk,1,1
check,1,1
cheese,1,1
cheese sandwich,1,2
chemical,1,1
cherry wood,1,2
cherry —,1,2
chicken,12,3
chicken breasts,1,2
chicken isn,1,2
chicken taste,1,2
children,1,1
chilies,1,1
chip pan,1,2
chip pan fire,2,3
chip pans,2,2
chips,1,1
chips vegetables,1,2
choice,3,3
chopsticks,2,1
